Company,Invested Capital,Revenue Per Share,Revenue_Assets,Total Assets,Total Assets Per Share,Total Equity,Total Net Income,Total Revenue,Sector
Stanley Black & Decker,11378.8,83.77,0.7,19079.9,125.38,8297.1,1226,13355.93,Consumer Discretionary
Navistar International,478,416.13,1.4,6135,297.89,-4578,30,8589,Industrials
Hess,18027,19.99,0.2,23112,84.5,11051,-4074,4622.4,Energy
Rockwell Collins,13198,52.41,0.4,17997,138.25,6043,705,7198.8,Industrials
Costco Wholesale,17437,295.88,3.5,36347,83.35,10778,2679,127214.5,Consumer Staples
Occidental Petroleum,30400,17.41,0.3,42026,55.13,20572,1311,12607.8,Energy
Yum Brands,3470,16.71,1.1,5311,15.1,-6334,1340,5842.1,Consumer Discretionary
Frontier Communications,19900,131.24,0.4,24884,357.78,2274,-1804,9953.6,Telecommunications Services
Edison International,26187,37.83,0.2,52580,161.47,11671,689,10516,Utilities
Molina Healthcare,,,,8471,,1337,-512,0,Health Care
Quintiles IMS Holdings,18334,78.82,0.4,22742,184.06,8109,1309,9096.8,Information Technology
Host Hotels & Resorts,,,,11693,,6973,564,0,Consumer Discretionary
Starbucks,9382.7,16.31,1.6,14365.6,10.46,5450.1,2884.7,22984.96,Consumer Discretionary
Charter Communications,109315,275.49,0.3,146623,971.42,39084,9895,43986.9,Consumer Discretionary
Jabil,2353.5,121.92,1.7,11096,70.97,2353.5,129.1,18863.2,Technology Hardware & Equipment
Darden Restaurants,3038.3,56.89,1.3,5504.2,43.67,2101.7,479.1,7155.46,Consumer Discretionary
Illinois Tool Works,12913,51.2,0.9,16780,60.02,4585,1687,15102,Industrials
Arthur J. Gallagher,7238.2,34.72,0.5,12897.4,72.71,4105.2,463.1,6448.7,Financials
Robert Half International,1106.1,47.88,2.8,1867.5,16.98,1105.3,290.6,5229,Business Services
Calpine,14393,24.38,0.5,16453,45.83,2988,-339,8226.5,Utilities
Discover Financial Services,,,,100087,,10329,2099,0,Financials
Lincoln National,,,,281763,,17322,2079,0,Financials
Eli Lilly,25239.3,23.46,0.5,44981,46.13,11592.2,-204.1,22490.5,Health Care
Meritor,1306,46.73,1.2,2782,38.84,268,324,3338.4,Industrials
U.S. Bancorp,,,,462040,,43621,6218,0,Financials
SLM,,,,21779.6,,2074.3,288.9,0,Financials
Cardinal Health,17203,454.35,3.2,40112,140.22,6808,1288,128358.4,Health Care
Expedia EXPE,8771.4,83.15,0.5,18515.6,153.05,4522.3,378,9257.8,Telecommunications Services
Ascena Retail Group,2359.1,38.99,1.7,3871.5,22.7,821,-1067.3,6581.55,Retailing
Public Service Enterprise Group,27457,18.01,0.2,42716,84.68,13847,1574,8543.2,Consumer Discretionary
Wells Fargo,,,,1951757,,181578,22183,0,Financials
Hartford Financial Services Group,,,,225260,,13494,-3131,0,Financials
Allstate,,,,112422,,20805,3189,0,Financials
Bemis,2764.6,44.43,1.1,3699.9,40.63,1201.2,94,4069.89,Materials
Fannie Mae,,,,3345529,,-139965,2463,0,Financials
Mohawk Industries,9822.7,153.75,0.8,12094.9,195.93,7059.2,971.6,9675.92,Industrials
Envision Healthcare Holdings,12842.5,67.48,0.5,16572.6,143.03,6527.1,-228,8286.3,Health Care
Unum Group,,,,64013.1,,9574.9,994.2,0,Financials
Intercontinental Exchange,23024,9.98,0.1,78264,133.83,16924,2514,7826.4,Financials
Momentive Specialty Chemicals,374.2,2.59,0.3,459.4,8.55,374.2,-88.1,137.82,Health Care
General Electric,198848,14.03,0.3,377945,43.42,64263,-5786,113383.5,Industrials
Crown Holdings,5944,65.08,0.8,10663,79.79,601,323,8530.4,Materials
Terex,2206.8,43.28,1.3,3462.5,34.34,1222,128.7,4501.25,Industrials
Monsanto,14539,33.46,0.7,21333,48.76,6438,2260,14933.1,Materials
NuStar Energy,6128.1,22.91,0.3,6535.2,82.55,2480.1,148,1960.56,Energy
Tenneco,2137,196.28,1.9,4842,102.48,696,207,9199.8,Industrials
L3 Technologies,8413,123.77,0.8,12729,164.58,5083,677,10183.2,Technology Hardware & Equipment
Dover,7951,56.85,0.7,10657.7,77.38,4383.2,811.7,7460.39,Industrials
